SETTLEMENTDATE,RRP_2019,RRP_2020
00:00:00,206.9184362139918,268.88840163934424
01:00:00,170.79765432098776,231.1936885245902
02:00:00,148.70662551440338,193.06438524590178
03:00:00,134.61555555555552,162.89836065573772
04:00:00,134.19893004115227,160.34385245901635
05:00:00,152.5296296296297,188.03717213114763
06:00:00,193.5070781893003,238.48344262295072
07:00:00,249.74337448559683,293.2174590163936
08:00:00,242.3253086419753,322.5093852459017
09:00:00,215.54378600823057,286.1313114754096
10:00:00,213.0002469135803,250.82811475409838
11:00:00,277.23855967078185,220.55028688524584
12:00:00,188.00884773662546,223.08729508196726
13:00:00,191.4997119341564,215.68221311475412
14:00:00,198.02456790123438,220.7733196721311
15:00:00,232.14732510288044,532.0073360655738
16:00:00,421.33403292181066,488.8640573770492
17:00:00,448.54921810699585,671.4713524590161
18:00:00,441.88263374485604,1087.5461065573766
19:00:00,391.19065843621416,644.8898770491805
20:00:00,354.8153086419756,309.814631147541
21:00:00,262.9408230452673,277.97528688524585
22:00:00,200.38650205761314,262.46627049180324
23:00:00,198.21041152263388,256.39799180327867
