day,temp_min,temp_max,feels_like,pressure,humidity,wind_speed,wind_deg,is_offday,whole-sale-1,whole-sale-2,demand,rrp
2015/01/01,18.818461538461538,23.24923076923077,19.723846153846157,1014.7692307692307,56.30769230769231,2.880769230769231,166.46153846153845,1,16,84,199270.06000000003,1173.4699999999998
2015/01/02,23.1125,28.81583333333333,23.994583333333335,1012.0416666666666,44.833333333333336,3.297083333333333,127.58333333333333,0,16,84,259212.02000000002,1485.13
2015/01/03,27.044583333333332,33.135,25.15166666666667,1009.5,30.958333333333332,7.9629166666666675,76.875,1,16,84,284601.07999999996,1590.1799999999998
2015/01/04,17.06958333333333,21.04958333333333,16.89916666666667,1016.2083333333334,62.166666666666664,4.544583333333333,189.375,1,16,84,208661.43,1188.25
2015/01/05,15.143333333333333,19.896666666666665,15.582083333333332,1020.1666666666666,61.708333333333336,3.67125,184.20833333333334,0,16,84,236264.40000000002,1233.0900000000001
2015/01/06,18.813333333333336,23.549166666666665,21.565416666666668,1019.2083333333334,71.16666666666667,2.6216666666666666,212.29166666666666,0,16,84,261344.97,1423.17
2015/01/07,23.013749999999998,28.841250000000002,26.979166666666668,1013.4583333333334,64.54166666666667,3.1366666666666667,183.08333333333334,0,16,84,307029.64,2130.65
2015/01/08,22.397499999999997,26.0125,25.72333333333334,1009.0416666666666,71.04166666666667,2.4716666666666667,215.83333333333334,0,16,84,284031.31000000006,2264.19
2015/01/09,14.868749999999999,17.700833333333332,15.782083333333334,1010.25,86.04166666666667,3.204166666666667,171.66666666666666,0,16,84,243602.31,1603.5300000000002
2015/01/10,14.28625,17.69125,15.58625,1013.4583333333334,81.75,2.185416666666667,201.95833333333334,1,16,84,206087.32,960.64
2015/01/11,19.2725,22.48875,20.1325,1013.9583333333334,68.58333333333333,4.058333333333333,145.41666666666666,1,16,84,199731.51,866.85
2015/01/12,20.234583333333333,24.29375,22.36791666666667,1011.6666666666666,64.25,2.5379166666666664,170.75,0,16,84,262522.25,1526.93
2015/01/13,19.302916666666665,23.5275,22.032916666666665,1001.25,72.125,3.060416666666667,141.5,0,16,84,253054.71999999997,1299.1000000000001
2015/01/14,17.2925,20.454583333333332,18.76,1001.4166666666666,78.16666666666667,3.2875,261.6666666666667,0,16,84,239483.24,1359.51
2015/01/15,14.114583333333334,17.825416666666666,14.932083333333333,1008.6666666666666,71.08333333333333,3.2875,230.83333333333334,0,16,84,236822.44,1454.28
2015/01/16,16.39,20.77208333333333,16.363333333333333,1007.4166666666666,53.625,3.033333333333333,285.8333333333333,0,16,84,233381.53,1092.19
2015/01/17,16.509166666666665,20.2,16.6525,1009.875,59.291666666666664,3.475,256.25,1,16,84,198742.62,903.0400000000001
2015/01/18,13.440416666666666,17.411666666666665,13.1775,1015.875,56.666666666666664,3.233333333333333,219.16666666666666,1,16,84,195457.5,815.5
2015/01/19,13.88,18.47875,13.794166666666667,1015.5833333333334,52.875,3.1750000000000003,158.33333333333334,0,16,84,233766.30000000002,1262.22
2015/01/20,18.347083333333334,23.62291666666667,19.6725,1006.4166666666666,55.75,2.94,144.16666666666666,0,16,84,257936.25,1073.8300000000002
2015/01/21,22.141666666666662,27.2775,24.609166666666667,1008.0416666666666,55.166666666666664,3.0679166666666666,131.29166666666666,0,16,84,297405.01,1569.02
2015/01/22,21.019583333333333,26.228333333333335,24.302916666666665,1009.6666666666666,68.29166666666667,2.6166666666666667,249.16666666666666,0,16,84,306464.19999999995,1592.95
2015/01/23,19.758333333333333,23.538333333333338,20.983333333333334,1006.0833333333334,66.25,3.4416666666666664,187.91666666666666,0,16,84,276190.4,1883.4199999999998
2015/01/24,17.429166666666667,22.20375,19.140833333333333,1004.75,66.375,2.4854166666666666,161.70833333333334,1,16,84,232621.18,996.22
2015/01/25,14.82875,18.572916666666668,14.188749999999999,1007.7083333333334,54.958333333333336,3.370833333333333,247.08333333333334,1,16,84,195918.91999999998,786.8299999999999
2015/01/26,11.786666666666667,16.38625,11.470416666666667,1015.8333333333334,63.125,3.17625,192.79166666666666,0,16,84,207538.96,809.91
2015/01/27,12.536666666666667,17.200416666666666,12.349583333333333,1016.9583333333334,60.875,3.6541666666666663,163.33333333333334,1,16,84,236786.62,993.02
2015/01/28,15.12208333333333,19.659166666666668,14.564583333333331,1017.625,53.166666666666664,4.133333333333333,146.66666666666666,0,16,84,233527.45,793.09
2015/01/29,13.932916666666666,18.215416666666666,13.280416666666667,1019.25,57.541666666666664,4.008333333333333,152.08333333333334,0,16,84,238627.46,917.04
2015/01/30,13.252916666666666,17.763333333333335,13.564166666666667,1015.4583333333334,61.291666666666664,3.35,169.58333333333334,0,16,84,242036.3,985.61
2015/01/31,13.433333333333332,18.282083333333333,14.180416666666666,1012.3333333333334,72.625,3.577916666666667,215.70833333333334,1,16,84,207645.94,785.3
2015/02/01,13.393333333333333,17.508333333333336,13.903333333333336,1014.0,86.0,3.6458333333333335,231.25,1,16,84,200357.68,684.6999999999999
2015/02/02,14.785416666666668,18.707083333333333,15.456666666666669,1019.5833333333334,71.625,3.420833333333333,185.41666666666666,0,16,84,237388.32,1035.23
2015/02/03,15.014166666666668,18.17125,15.270000000000001,1021.8333333333334,66.04166666666667,3.025,181.25,0,16,84,245760.26,1248.23
2015/02/04,14.080833333333336,17.813333333333336,13.607916666666666,1019.5833333333334,62.916666666666664,3.9958333333333336,178.75,0,16,84,234796.06,1295.07
2015/02/05,16.185,20.715416666666666,17.25166666666667,1022.5416666666666,67.66666666666667,2.77125,159.70833333333334,0,16,84,244558.84999999998,1463.19
